no,name,stock_code,team
1,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,3
2,ABF MALAYSIA BOND INDEX FUND,0800EA,2
3,ABLE GLOBAL BERHAD,7167,3
4,ABLEGROUP BERHAD,7086,2
5,ABM FUJIYA BERHAD,5198,2
6,ACME HOLDINGS BERHAD,7131,1
7,ACO GROUP BERHAD,0218,4
8,ADVANCE INFORMATION MARKETING BERHAD,0122,4
9,ADVANCE SYNERGY BERHAD,1481,3
10,ADVANCECON HOLDINGS BERHAD,5281,7
11,ADVENTA BERHAD,7191,1
12,AE MULTI HOLDINGS BERHAD,7146,2
13,AEMULUS HOLDINGS BERHAD,0181,4
14,AEON CO. (M) BHD,6599,1
15,AEON CREDIT SERVICE (M) BERHAD,5139,1
16,AFFIN BANK BERHAD,5185,1
17,AGESON BERHAD,7145,7
18,AGMO HOLDINGS BERHAD,0258,4
19,AGRICORE CS HOLDINGS BERHAD,0309,4
20,AGX GROUP BERHAD,0299,4
21,AHB HOLDINGS BERHAD,7315,3
22,AHMAD ZAKI RESOURCES BERHAD,7078,7
23,AIMFLEX BERHAD,0209,4
24,AIRASIA X BERHAD,5238,3
25,AJINOMOTO (MALAYSIA) BERHAD,2658,3
26,AJIYA BERHAD,7609,2
27,ALAM MARITIM RESOURCES BERHAD,5115,3
28,AL-'AQAR HEALTHCARE REIT,5116,1
29,ALCOM GROUP BERHAD,2674,2
30,ALDRICH RESOURCES BERHAD,0079,4
31,ALLIANCE BANK MALAYSIA BERHAD,2488,1
32,ALLIANZ MALAYSIA BERHAD,1163,1
33,ALPHA IVF GROUP BERHAD,0303,4
34,ALPHA OCEAN RESOURCES BERHAD,03051,4
35,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269,1
36,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127,1
37,AME ELITE CONSORTIUM BERHAD,5293,7
38,AME REAL ESTATE INVESTMENT TRUST,5307,7
39,AMFIRST REAL ESTATE INVESTMENT TRUST,5120,1
40,AMLEX HOLDINGS BERHAD,03011,4
41,AMMB HOLDINGS BERHAD,1015,1
42,AMTEL HOLDINGS BERHAD,7031,7
